tempo,ID,Chills?,Goosebumps,Chills intensity,#Chills,Stimulus,Duration (in seconds),Arousal pre,Valence Pre,Mood Pre,Arousal Post,Valence Post,Mood post,Liking,Prior Exposure,Reminiscence,spectrogram_pca,mfcc_pca,chroma_pca
0,393,No,No,0,1,Miserere Me (Audio),1523,5,6,3,4,5,3,3,2,No,"[-13.520295796098821, -5.646265364272651, -0.8160903654700191, -3.3971851153576, 1.3325502491015926, -4.66096861059753, -0.7907269610969445, 0.9483384438237983, -0.6494209023549063, -4.276907558522621, -3.174190314433693, -2.9281975087187897, -0.6458060347984179, 14.475268543277856, 3.3614940785463294, -0.07786622280814953, -0.20808619772250617, -0.018900157895633818, -0.42098314520673785, -2.117437555062991e-14]","[39.49120464683956, -4.024765578501421, 1.1512526753813488, -0.34167207649923775, -4.741812693268357, 2.000578885467839, -0.5921382619269905, 1.0179042847595976, 1.1053591555363338, -2.4046845551625005]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,450,No,No,0,1,Miserere Me (Audio),1283,5,5,3,5,5,3,0,2,No,"[-13.520295796099136, -5.646265364272956, -0.8160903654699773, -3.3971851153577353, 1.3325502491015746, -4.660968610597529, -0.7907269610969262, 0.9483384438236211, -0.6494209023547615, -4.276907558522545, -3.1741903144335972, -2.928197508718807, -0.6458060347981806, 14.4752685432781, 3.3614940785463823, -0.07786622280834105, -0.20808619772264708, -0.018900157895707665, -0.42098314520663754, 7.008943689966214e-14]","[39.49120464683955, -4.0247655785014125, 1.1512526753813672, -0.34167207649922987, -4.741812693268343, 2.0005788854678315, -0.592138261926967, 1.0179042847596194, 1.1053591555363522, -2.404684555162451]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,457,No,No,0,1,Miserere Me (Audio),1240,4,2,2,3,2,2,4,2,No,"[-13.520295796099358, -5.646265364272927, -0.8160903654700417, -3.3971851153575994, 1.3325502491015702, -4.660968610597429, -0.7907269610969222, 0.9483384438236488, -0.6494209023548005, -4.2769075585227245, -3.1741903144335604, -2.928197508718795, -0.6458060347981365, 14.4752685432782, 3.361494078546295, -0.07786622280823333, -0.20808619772262893, -0.018900157895893, -0.4209831452066782, 7.536998923742063e-14]","[39.49120464683955, -4.024765578501411, 1.151252675381371, -0.3416720764992282, -4.741812693268339, 2.00057888546783, -0.5921382619269621, 1.017904284759624, 1.1053591555363562, -2.4046845551624414]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,477,No,No,0,1,Miserere Me (Audio),1808,1,1,1,2,2,1,5,2,Yes,"[-13.520295796098933, -5.646265364272813, -0.8160903654701843, -3.3971851153575834, 1.3325502491015913, -4.660968610597345, -0.7907269610967875, 0.9483384438233338, -0.6494209023549316, -4.276907558522585, -3.1741903144336416, -2.9281975087187444, -0.6458060347983742, 14.475268543278252, 3.3614940785460914, -0.07786622280810958, -0.2080861977227406, -0.01890015789589485, -0.42098314520690006, 1.1687537922124553e-13]","[39.49120464683955, -4.0247655785014125, 1.1512526753813677, -0.3416720764992297, -4.741812693268342, 2.0005788854678315, -0.5921382619269665, 1.01790428475962, 1.1053591555363529, -2.4046845551624503]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,531,No,Yes,0,1,Miserere Me (Audio),1574,7,7,5,9,8,5,9,2,No,"[-13.52029579609938, -5.64626536427291, -0.8160903654699031, -3.39718511535752, 1.3325502491015158, -4.660968610597372, -0.790726961096829, 0.9483384438236102, -0.6494209023548516, -4.27690755852252, -3.1741903144336505, -2.9281975087187613, -0.6458060347982824, 14.47526854327804, 3.3614940785462446, -0.07786622280836067, -0.20808619772266396, -0.01890015789568252, -0.42098314520696284, -5.306242127056626e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813666, -0.34167207649923015, -4.7418126932683435, 2.000578885467832, -0.5921382619269678, 1.0179042847596187, 1.1053591555363518, -2.404684555162453]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,572,Yes,Yes,100,4,Miserere Me (Audio),1804,10,10,5,10,10,5,10,2,Yes,"[-13.520295796099271, -5.6462653642728755, -0.8160903654699754, -3.3971851153575776, 1.3325502491015995, -4.66096861059741, -0.7907269610969083, 0.9483384438236121, -0.6494209023548263, -4.276907558522571, -3.1741903144336057, -2.9281975087187697, -0.6458060347982947, 14.475268543278078, 3.3614940785462535, -0.07786622280822164, -0.208086197722632, -0.01890015789573082, -0.42098314520681523, 8.920247762037518e-14]","[39.49120464683955, -4.024765578501412, 1.1512526753813692, -0.3416720764992291, -4.741812693268342, 2.0005788854678306, -0.5921382619269645, 1.0179042847596218, 1.1053591555363544, -2.4046845551624463]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,693,No,No,0,1,Miserere Me (Audio),1607,0,10,4,0,10,5,6,2,No,"[-13.52029579609918, -5.646265364272924, -0.8160903654698841, -3.397185115357524, 1.3325502491014454, -4.660968610597365, -0.7907269610968124, 0.9483384438236261, -0.6494209023547506, -4.276907558522607, -3.174190314433519, -2.9281975087187893, -0.645806034798314, 14.475268543278075, 3.3614940785461935, -0.07786622280831654, -0.20808619772256348, -0.018900157895804022, -0.4209831452068838, 5.373188356932961e-14]","[39.49120464683955, -4.0247655785014125, 1.1512526753813688, -0.3416720764992292, -4.741812693268342, 2.000578885467831, -0.5921382619269651, 1.0179042847596211, 1.1053591555363538, -2.404684555162447]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,698,No,No,0,1,Miserere Me (Audio),2123,5,4,3,6,5,3,5,2,No,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.6836997847178656e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,728,No,No,0,1,Miserere Me (Audio),1092,5,5,3,2,2,2,8,2,No,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784718041e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,747,No,No,0,1,Miserere Me (Audio),1974,0,0,4,0,10,5,7,2,Yes,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784718008e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
